id,host_id,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_30,number_of_reviews,review_scores_rating
26996408,13983184,1,Concourse,40.82053,-73.92701,Entire loft,Entire home/apt,2,2,2,$100.00 ,3,0,63,4.81
27200105,416361,1,Bedford-Stuyvesant,40.68039,-73.94368,Entire rental unit,Entire home/apt,4,2,2,$411.00 ,3,13,12,4.8
27406558,8245652,5,Bushwick,40.69511,-73.90778,Entire rental unit,Entire home/apt,4,2,2,$90.00 ,30,0,6,4.83
27201242,1837068,1,Bushwick,40.69336,-73.91265,Entire rental unit,Entire home/apt,4,2,2,$185.00 ,3,0,65,4.98
27416658,203982404,6,East Harlem,40.80912,-73.9388,Entire rental unit,Entire home/apt,6,2,2,$200.00 ,30,0,3,5
27053726,33526253,1,Windsor Terrace,40.65678,-73.98103,Entire rental unit,Entire home/apt,3,2,2,$150.00 ,30,0,2,5
27461602,3125234,1,Little Italy,40.71946,-73.99616,Entire rental unit,Entire home/apt,4,2,2,$513.00 ,2,1,29,4.93
27466647,6485,1,Bedford-Stuyvesant,40.68137,-73.93262,Entire rental unit,Entire home/apt,4,2,2,$180.00 ,5,1,8,4.88
27279139,3662122,2,Bushwick,40.70758,-73.92234,Entire loft,Entire home/apt,5,2,2,$250.00 ,5,0,28,4.89
27087566,579017,1,Greenpoint,40.73405,-73.95727,Entire condo,Entire home/apt,4,2,2,$190.00 ,30,0,4,4.5
27477710,157337532,4,College Point,40.77873,-73.84257,Entire rental unit,Entire home/apt,5,2,2,$181.00 ,2,17,196,4.82
27606552,521819,1,Williamsburg,40.71224,-73.93976,Entire rental unit,Entire home/apt,3,2,2,$192.00 ,31,0,25,4.79
27369599,45241930,3,Murray Hill,40.74427,-73.97149,Entire serviced apartment,Entire home/apt,4,2,2,"$2,000.00 ",30,28,8,4.5
27627627,3250725,5,SoHo,40.72062,-74.00282,Entire condo,Entire home/apt,4,2,2,"$1,250.00 ",4,7,18,4.5
27542642,207777872,3,East Flatbush,40.65233,-73.91676,Entire home,Entire home/apt,4,2,2,$130.00 ,180,28,54,4.74
27784542,2248626,1,Columbia St,40.68374,-74.0028,Entire loft,Entire home/apt,5,2,2,$221.00 ,7,0,18,5
27795695,24589216,2,Williamsburg,40.70786,-73.96191,Entire rental unit,Entire home/apt,5,2,2,$150.00 ,30,0,13,4.77
27831763,25308624,3,Bedford-Stuyvesant,40.68155,-73.93504,Entire rental unit,Entire home/apt,4,2,2,$89.00 ,30,3,1,5
27874237,42273,3,South Slope,40.66807,-73.98729,Entire rental unit,Entire home/apt,3,2,2,$150.00 ,31,1,3,5
27697284,875439,1,Jackson Heights,40.75141,-73.8804,Entire rental unit,Entire home/apt,4,2,2,$192.00 ,3,9,120,4.95
28049432,144687306,5,Prospect-Lefferts Gardens,40.65732,-73.95285,Entire rental unit,Entire home/apt,6,2,2,$150.00 ,2,0,81,4.73
27710264,209202426,1,Bushwick,40.70112,-73.93734,Entire rental unit,Entire home/apt,6,2,2,$80.00 ,30,0,5,5
27909345,20843936,2,Mott Haven,40.80971,-73.92542,Private room in townhouse,Private room,4,2,2,$145.00 ,3,4,29,4.86
27730757,7087709,1,Boerum Hill,40.68918,-73.98771,Entire rental unit,Entire home/apt,5,2,2,$250.00 ,30,0,47,4.96
28100131,212262028,3,Fort Greene,40.69028027,-73.97829597,Entire rental unit,Entire home/apt,5,2,2,$325.00 ,30,10,54,4.79
28136160,17101801,1,Hell's Kitchen,40.76017,-73.99202,Entire rental unit,Entire home/apt,2,2,2,$105.00 ,30,0,7,5
28004429,57287101,1,East Village,40.72493,-73.982,Entire rental unit,Entire home/apt,4,2,2,$150.00 ,30,0,5,5
28270998,647528,1,Bedford-Stuyvesant,40.69563,-73.94927,Entire rental unit,Entire home/apt,4,2,2,$130.00 ,30,8,16,4.94
28437669,3964276,1,East Village,40.72602,-73.98801,Entire rental unit,Entire home/apt,4,2,2,$285.00 ,30,0,6,5
28438216,214347105,7,Midtown,40.7534,-73.96617,Entire rental unit,Entire home/apt,6,2,2,$759.00 ,3,27,14,4.57
28195740,212898110,1,Sunset Park,40.66538,-73.99355,Entire rental unit,Entire home/apt,6,2,2,$130.00 ,30,0,17,4.76
28312557,46594996,1,East Flatbush,40.63462,-73.94276,Entire rental unit,Entire home/apt,4,2,2,$98.00 ,2,0,8,4.75
28461316,82736848,1,Morningside Heights,40.81061,-73.96492,Entire rental unit,Entire home/apt,4,2,2,$250.00 ,30,0,2,4.5
28343300,4492236,2,Williamsburg,40.7063,-73.94738,Entire rental unit,Entire home/apt,4,2,2,$150.00 ,30,0,1,5
28506359,215161436,1,Upper West Side,40.8001,-73.96052,Entire condo,Entire home/apt,5,2,2,$345.00 ,30,29,37,4.7
28513774,108249932,3,East New York,40.67559,-73.89027,Entire rental unit,Entire home/apt,4,2,2,$168.00 ,3,3,121,4.74
28715332,39243102,1,SoHo,40.72054,-74.00198,Entire loft,Entire home/apt,5,2,2,$885.00 ,2,4,59,4.97
28520183,1755123,1,Williamsburg,40.71473,-73.95489,Entire rental unit,Entire home/apt,5,2,2,$300.00 ,4,3,58,4.78
28385105,49804236,2,Long Island City,40.74753,-73.92138,Entire rental unit,Entire home/apt,3,2,2,$127.00 ,30,0,15,4.93
28539464,214347105,7,Midtown,40.7534,-73.96617,Entire rental unit,Entire home/apt,6,2,2,$761.00 ,3,26,18,4.78
28751496,36391065,1,Astoria,40.76089,-73.92046,Entire rental unit,Entire home/apt,5,2,2,$120.00 ,30,0,11,4.55
28560837,92523072,1,Rockaway Beach,40.59007,-73.81407,Entire home,Entire home/apt,4,2,2,$165.00 ,3,17,170,4.81
28561195,10410631,1,Brooklyn Heights,40.69686,-73.99636,Entire townhouse,Entire home/apt,4,2,2,$200.00 ,30,0,1,5
28412322,20161085,4,St. Albans,40.68751,-73.76205,Private room in home,Private room,4,2,2,$97.00 ,5,4,92,4.67
28784880,65671256,4,East Elmhurst,40.75791,-73.8601,Entire loft,Entire home/apt,3,2,2,$113.00 ,1,3,270,4.59
28785361,214347105,7,Midtown,40.7534,-73.96617,Entire rental unit,Entire home/apt,6,2,2,$641.00 ,3,27,21,4.57
28911830,191085997,3,Pelham Bay,40.85587,-73.83041,Entire villa,Entire home/apt,10,2,2,$450.00 ,3,3,2,5
28801976,1171704,1,Williamsburg,40.70425,-73.93417,Entire loft,Entire home/apt,4,2,2,$215.00 ,2,5,67,4.77
28631715,216061803,1,Williamsburg,40.7174,-73.95587,Entire rental unit,Entire home/apt,5,2,2,$240.00 ,30,0,7,4.6
28838673,290055,1,Bedford-Stuyvesant,40.68501,-73.93801,Entire guest suite,Entire home/apt,5,2,2,$329.00 ,4,2,172,4.95
28940279,40742174,1,Williamsburg,40.71122,-73.95769,Entire rental unit,Entire home/apt,2,2,2,$250.00 ,30,0,1,0
28891043,19303369,243,Jackson Heights,40.74908,-73.89389,Entire home,Entire home/apt,4,2,2,$218.00 ,1,17,32,4.56
28964081,216586866,3,Chelsea,40.74351,-73.9974,Entire rental unit,Entire home/apt,5,2,2,$200.00 ,30,0,1,5
