id,host_id,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_30,number_of_reviews,review_scores_rating,zip
705305922266862780,152098453,2.0,Jackson Heights,40.748875430306896,-73.8807077647482,Private room in rental unit,Private room,2,1.0,1.0,$100.00,3,16,1,5.0,11372
706611147133623424,258035043,3.0,Bedford-Stuyvesant,40.68093970204338,-73.9187453674782,Private room in rental unit,Private room,2,1.0,1.0,$67.00,30,0,1,5.0,11233
704391618029757708,476353211,6.0,Elmhurst,40.74353017301463,-73.86817803399532,Private room in home,Private room,2,1.0,1.0,$55.00,2,3,1,5.0,11373
706712410572332671,17557097,1.0,Prospect Heights,40.6806347421315,-73.96465627179302,Private room in condo,Private room,2,1.0,1.0,$364.00,1,27,1,5.0,11238
706752921121143414,96589640,3.0,Harlem,40.82533807596158,-73.93933573485361,Private room in condo,Private room,2,1.0,1.0,$58.00,1,3,1,5.0,10039
705452857669550996,447189172,1.0,Williamsburg,40.69884445075713,-73.95856381086324,Entire condo,Entire home/apt,4,1.0,1.0,$300.00,1,0,2,5.0,11205
704509709325061320,273971514,2.0,St. George,40.645696224598495,-74.0850508354103,Entire home,Entire home/apt,6,3.0,3.0,$189.00,2,24,1,5.0,10301
704924951363219080,471922429,2.0,Flatbush,40.62895049327013,-73.96398033171168,Private room in home,Private room,4,1.0,1.0,$225.00,1,8,1,5.0,11230
707272556257060819,407479321,11.0,Upper West Side,40.77438407486448,-73.98164268773883,Entire rental unit,Entire home/apt,16,2.0,11.0,$879.00,1,24,1,5.0,10023
705935489215118165,467855405,2.0,College Point,40.78668861055769,-73.83841371958404,Private room in rental unit,Private room,1,1.0,1.0,$65.00,1,20,2,5.0,11356
705982958145847356,332905063,2.0,Edenwald,40.8820132,-73.8495215,Entire rental unit,Entire home/apt,2,1.0,1.0,$70.00,2,19,1,5.0,10466
705984566870683352,445040933,2.0,East Flatbush,40.66137167306261,-73.92525896710113,Private room in home,Private room,2,1.0,1.0,$91.00,1,26,1,5.0,11212
706000708692803625,445040933,2.0,East Flatbush,40.6602143,-73.92474179999998,Private room in home,Private room,1,1.0,1.0,$67.00,1,27,1,5.0,11212
21098315,99434787,5.0,Upper West Side,40.79014,-74.00652,Entire rental unit,Entire home/apt,7,2.0,4.0,$295.00,30,26,137,4.88,10069
33227760,250192506,1.0,Upper West Side,40.78464,-74.00649,Private room in condo,Private room,1,1.0,1.0,$78.00,29,0,18,5.0,10069
687073063266998776,415859188,3.0,Upper West Side,40.78637,-74.0066,Private room in home,Private room,2,1.0,1.0,$75.00,2,0,3,4.33,10069
686454008724684883,457425059,1.0,Wakefield,40.90573338294232,-73.84275181570726,Entire rental unit,Entire home/apt,6,2.0,3.0,$158.00,2,18,4,5.0,10550
35614269,31693073,1.0,Upper West Side,40.78773,-74.00694,Entire rental unit,Entire home/apt,4,1.0,3.0,$90.00,4,0,15,4.8,10069
15448095,22541573,222.0,Ellis Island,40.71905,-74.04078,Entire rental unit,Entire home/apt,3,1.0,1.0,$240.00,30,0,7,4.86,10282
52149739,293407375,7.0,Chelsea,40.74693,-74.03116999999997,Entire rental unit,Entire home/apt,13,3.0,6.0,$166.00,2,13,46,4.24,10014
53476833,77566381,1.0,Chelsea,40.74761,-74.03132,Entire rental unit,Entire home/apt,4,1.0,2.0,$182.00,1,20,38,4.5,10014
43449422,95459395,284.0,West Village,40.74067700000001,-74.02777900000002,Entire serviced apartment,Entire home/apt,3,1.0,2.0,$378.00,10,23,1,5.0,10014
53218016,37158166,1.0,West Village,40.74007,-74.03171,Entire condo,Entire home/apt,3,1.0,1.0,$120.00,20,0,1,5.0,10014
21621644,157174384,1.0,Ellis Island,40.71877,-74.03833,Entire condo,Entire home/apt,2,1.0,2.0,$200.00,10,0,25,4.92,10282
46879322,162908926,1.0,Upper West Side,40.78569,-74.00648000000002,Private room in rental unit,Private room,2,1.0,1.0,$170.00,1,0,4,4.75,10069
46038344,85724176,2.0,Hell's Kitchen,40.7746,-74.01519,Entire rental unit,Entire home/apt,7,2.0,5.0,$270.00,3,13,1,3.0,10069
661874163888235547,20178945,2.0,Rockaway Park,40.57898941304877,-73.83755179917723,Entire rental unit,Entire home/apt,4,2.0,2.0,$302.00,1,30,5,5.0,11694
24178848,182231443,3.0,Hell's Kitchen,40.77377,-74.01633000000002,Entire rental unit,Entire home/apt,7,2.0,2.0,$269.00,4,23,2,4.5,10069
28255165,213409602,1.0,Rosedale,40.65547,-73.71204,Private room in home,Private room,2,1.0,1.0,$88.00,1,16,260,4.97,11581
19291937,135091179,1.0,Rosedale,40.66403,-73.71255,Private room in home,Private room,3,1.0,1.0,$200.00,1,23,16,4.79,11580
51934881,34218183,2.0,Rockaway Park,40.57944000000001,-73.83041999999998,Entire condo,Entire home/apt,4,2.0,7.0,$115.00,30,10,5,5.0,11694
47141129,145862771,7.0,Rockaway Park,40.58522,-73.81943000000003,Private room in bungalow,Private room,1,1.0,1.0,$30.00,30,6,2,3.0,11693
14606197,63481165,4.0,Cambria Heights,40.68572,-73.71880999999998,Private room in home,Private room,2,1.0,1.0,$31.00,25,3,25,4.77,11411
681737964201563846,12231092,1.0,Rockaway Park,40.58226621910047,-73.82091599452805,Entire cottage,Entire home/apt,2,1.0,1.0,$129.00,2,17,7,5.0,11693
601478469711746317,86191555,1.0,Hell's Kitchen,40.77049,-74.02349,Private room in rental unit,Private room,2,1.0,1.0,$96.00,3,17,5,5.0,10036
25684094,185956783,1.0,Rockaway Park,40.58518,-73.8182,Entire rental unit,Entire home/apt,4,2.0,2.0,$318.00,30,6,53,5.0,11693
546613440186904288,411142830,10.0,Queens Village,40.70758,-73.72267,Private room in home,Private room,2,1.0,1.0,$79.00,1,7,9,4.78,11429
648191896822644411,463345136,9.0,West Village,40.73724,-74.03001,Entire rental unit,Entire home/apt,3,1.0,1.0,$191.00,2,12,3,4.33,10014
44682420,197764769,1.0,Rosedale,40.65435,-73.70924000000002,Entire rental unit,Entire home/apt,2,1.0,2.0,$146.00,1,0,12,5.0,11581
32167923,65664569,1.0,Rosedale,40.6556,-73.71176,Private room in home,Private room,2,1.0,1.0,$125.00,1,21,240,4.85,11581
53381931,432212494,2.0,Howland Hook,40.65042,-74.19295,Private room in home,Private room,2,1.0,1.0,$71.00,1,15,18,4.61,10303
603033154431440957,163503264,4.0,Wakefield,40.90164,-73.82881,Entire rental unit,Entire home/apt,4,1.0,2.0,$82.00,4,3,9,5.0,10550
53867074,436188365,2.0,Cambria Heights,40.69436,-73.70907,Entire home,Entire home/apt,10,4.0,5.0,$936.00,1,28,11,5.0,11003
702208369217692472,476853173,1.0,Cambria Heights,40.6884,-73.71315,Private room in villa,Private room,2,1.0,1.0,$100.00,1,28,3,4.67,11003
50026613,245529003,1.0,Queens Village,40.70427,-73.71519,Entire home,Entire home/apt,4,2.0,2.0,$108.00,1,4,73,4.6,11003
52638005,44008190,14.0,Port Richmond,40.64754,-74.13226,Entire home,Entire home/apt,16,7.0,9.0,$810.00,1,17,13,4.77,10302
49755421,313935950,1.0,Port Ivory,40.65432,-74.18867,Entire home,Entire home/apt,2,2.0,2.0,$148.00,5,16,5,4.8,10303
50396340,407118242,2.0,Randall Manor,40.65702,-74.12148,Private room in home,Private room,1,1.0,1.0,$59.00,1,25,12,4.83,10310
552093406086724848,411142830,10.0,Queens Village,40.7076,-73.72121,Private room in home,Private room,2,1.0,1.0,$79.00,1,6,14,4.5,11003
642968030351121072,446254297,3.0,Queens Village,40.70572096175032,-73.7170185148716,Entire home,Entire home/apt,6,2.0,5.0,$354.00,1,29,11,5.0,11003
53344301,419640669,2.0,Queens Village,40.70712,-73.71701999999998,Entire home,Entire home/apt,4,2.0,2.0,$221.00,4,25,4,5.0,11003
18788389,130766915,2.0,Rosedale,40.67565,-73.71289,Private room in home,Private room,2,1.0,1.0,$65.00,2,3,163,4.89,11580
47977955,386768110,1.0,Randall Manor,40.6613,-74.12171,Entire rental unit,Entire home/apt,5,2.0,2.0,$90.00,3,0,1,5.0,10310
51141144,413868212,1.0,Cambria Heights,40.7025,-73.71412,Private room in casa particular,Private room,2,1.0,1.0,$120.00,1,28,18,4.83,11003
53385405,48764969,6.0,Rockaway Park,40.57984,-73.83706,Private room in condo,Private room,1,1.0,1.0,$60.00,4,7,4,5.0,11694
647303287833632023,76371792,3.0,Randall Manor,40.6556004,-74.12569350000003,Private room in condo,Private room,2,1.0,1.0,$60.00,3,0,5,5.0,10310
44032418,352918949,3.0,Far Rockaway,40.59081,-73.73558,Entire home,Entire home/apt,12,6.0,8.0,$290.00,30,0,1,3.0,11509
27506629,140808012,1.0,Queens Village,40.70571,-73.71517,Entire home,Entire home/apt,2,1.0,1.0,$150.00,2,6,6,4.33,11003
602759448468704490,263727686,1.0,Far Rockaway,40.59789,-73.73753,Entire home,Entire home/apt,7,3.0,5.0,$285.00,2,13,2,4.0,11509
