id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
565244436613274737,Sonder at Penny Lane | Lofted Two-Bedroom Apartment,224865057,Sonder (Montreal),,Ville-Marie,45.50262,-73.56036,Entire home/apt,279,2,177,2022-05-25,3.49,40,328,108,301038
564449462971723658,*New* Modern 3 bedroom condo with a parking,195508236,Philip,,Rosemont-La Petite-Patrie,45.53949,-73.61204,Entire home/apt,286,2,10,2022-05-30,3.03,5,272,10,
565248517631559333,Sonder at Penny Lane | Two-Bedroom Apartment w/ Balcony,224865057,Sonder (Montreal),,Ville-Marie,45.50141,-73.55884,Entire home/apt,524,2,83,2022-03-21,1.85,40,246,14,301038
565252245809330062,Sonder at Penny Lane | Superior One-Bedroom Apartment,224865057,Sonder (Montreal),,Ville-Marie,45.50071,-73.55892,Entire home/apt,224,2,296,2022-05-23,5.81,40,327,190,301038
564477394322865841,Beautiful 1 bedroom apartment with a BBQ grill,195508236,Philip,,Verdun,45.46062,-73.56654,Entire home/apt,123,2,9,2022-05-23,2.67,5,267,9,
565641905174468331,Grand appartement avec cour au rez-de-chaussé,42711618,Claude,,Le Plateau-Mont-Royal,45.53970398020175,-73.5783118868235,Entire home/apt,199,4,0,,,1,42,0,309805
573140510594966789,Le nid du Plateau,816732,Aurore,,Le Plateau-Mont-Royal,45.535198,-73.571106,Entire home/apt,150,6,0,,,1,166,0,
565799744043577459,Sublime dans Ville-Marie,282091439,David,,Ville-Marie,45.52908,-73.54954,Entire home/apt,111,12,1,2022-05-10,1,2,68,1,
566036326396993928,Montreal Room with king bed 10 minuts of mtro st,294904186,Lorenzo,,Saint-Léonard,45.57287,-73.58302,Private room,50,1,9,2022-05-01,3.60,1,332,9,
573176265923745748,Trendy PH on Historical street Old Mtl w/ Parking,438077118,Jeremie,,Ville-Marie,45.50387,-73.55518,Entire home/apt,254,2,17,2022-05-23,5.20,15,47,17,
566089295766701312,Spacious creative workspace bedroom,420150389,Feliz,,Outremont,45.51047,-73.61388,Private room,58,1,5,2022-05-21,1.67,1,273,5,
566092003892470581,Lovely room minutes from downtown MTL,135278093,Mauro,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48178,-73.62552,Private room,19,31,1,2022-03-31,0.43,1,59,1,
573179151988849891,Très beau condo lumineux avec 2 chambre et jardin,40587292,Mathias,,Le Plateau-Mont-Royal,45.52574,-73.57707,Entire home/apt,150,2,0,,,1,3,0,
